id,symbol,side,price,amount,cost,status,datetime,timestamp
1467152751,ETH/USDT:USDT,buy,2375.11,0.02,47.5022,closed,2024-10-11T14:19:17.898Z,1728656357898
1467152808,ETH/USDT:USDT,buy,2394.56,0.02,47.8912,closed,2024-10-11T14:26:41.461Z,1728656801461
1467152809,ETH/USDT:USDT,buy,2394.56,0.02,47.8912,closed,2024-10-11T14:26:41.975Z,1728656801975
1467153500,ETH/USDT:USDT,buy,2355.82,0.02,47.1164,closed,2024-10-11T15:17:49.303Z,1728659869303
1467153501,ETH/USDT:USDT,buy,2375.11,0.02,47.5022,closed,2024-10-11T15:17:49.607Z,1728659869607
1467153503,ETH/USDT:USDT,buy,2355.82,0.02,47.1164,closed,2024-10-11T15:17:50.037Z,1728659870037
1467153504,ETH/USDT:USDT,buy,2375.11,0.02,47.5022,closed,2024-10-11T15:17:50.346Z,1728659870346
1467153894,ETH/USDT:USDT,buy,2355.82,0.02,47.1164,closed,2024-10-11T15:37:14.688Z,1728661034688
1467153895,ETH/USDT:USDT,buy,2355.82,0.02,47.1164,closed,2024-10-11T15:37:14.959Z,1728661034959
1467153896,ETH/USDT:USDT,sell,2394.56,0.02,47.8912,closed,2024-10-11T15:37:14.996Z,1728661034996
1467153897,ETH/USDT:USDT,sell,2394.56,0.02,47.8912,closed,2024-10-11T15:37:15.259Z,1728661035259
